num_mes,anio,mes,departamento,salario,cant_salario,cod_dpto
1,2015,Ene,Caquetá,$8.000.001 0 $10.000.000,1,7
1,2015,Ene,Caquetá,$10.000.0010$12.000.000,0,7
1,2015,Ene,Caquetá,$12.000.0010$15.000.000,0,7
1,2015,Ene,Caquetá,>$15.000.001,0,7
1,2015,Ene,Caquetá,A convenir,10,7
1,2015,Ene,Caquetá,No especifica Salario,0,7
1,2015,Ene,Casanare,Salario Mínimo,16,26
1,2015,Ene,Casanare,Salario Mínimo 0 $1.000.000,56,26
1,2015,Ene,Casanare,$1.000.001 0 $1.500.000,29,26
1,2015,Ene,Casanare,$1.500.001 0 $2.000.000,20,26
1,2015,Ene,Casanare,$2.000.001 0 $3.000.000,15,26
1,2015,Ene,Casanare,$3.000.001 0 $4.000.000,5,26
1,2015,Ene,Casanare,$4.000.001 0 $6.000.000,2,26
1,2015,Ene,Casanare,$6.000.001 0 $8.000.000,2,26
1,2015,Ene,Casanare,$8.000.001 0 $10.000.000,1,26
1,2015,Ene,Casanare,$10.000.0010$12.000.000,0,26
1,2015,Ene,Casanare,$12.000.0010$15.000.000,0,26
1,2015,Ene,Casanare,>$15.000.001,0,26
1,2015,Ene,Casanare,A convenir,77,26
1,2015,Ene,Casanare,No especifica Salario,1,26
1,2015,Ene,Cauca,Salario Mínimo,76,8
1,2015,Ene,Cauca,Salario Mínimo 0 $1.000.000,79,8
1,2015,Ene,Cauca,$1.000.001 0 $1.500.000,53,8
1,2015,Ene,Cauca,$1.500.001 0 $2.000.000,20,8
1,2015,Ene,Cauca,$2.000.001 0 $3.000.000,30,8
1,2015,Ene,Cauca,$3.000.001 0 $4.000.000,9,8
1,2015,Ene,Cauca,$4.000.001 0 $6.000.000,10,8
1,2015,Ene,Cauca,$6.000.001 0 $8.000.000,0,8
1,2015,Ene,Cauca,$8.000.001 0 $10.000.000,2,8
1,2015,Ene,Cauca,$10.000.0010$12.000.000,0,8
1,2015,Ene,Cauca,$12.000.0010$15.000.000,0,8
1,2015,Ene,Cauca,>$15.000.001,0,8
1,2015,Ene,Cauca,A convenir,20,8
1,2015,Ene,Cauca,No especifica Salario,5,8
1,2015,Ene,Cesar,Salario Mínimo,29,9
1,2015,Ene,Cesar,Salario Mínimo 0 $1.000.000,68,9
1,2015,Ene,Cesar,$1.000.001 0 $1.500.000,62,9
1,2015,Ene,Cesar,$1.500.001 0 $2.000.000,20,9
1,2015,Ene,Cesar,$2.000.001 0 $3.000.000,31,9
1,2015,Ene,Cesar,$3.000.001 0 $4.000.000,12,9
1,2015,Ene,Cesar,$4.000.001 0 $6.000.000,9,9
1,2015,Ene,Cesar,$6.000.001 0 $8.000.000,0,9
1,2015,Ene,Cesar,$8.000.001 0 $10.000.000,0,9
1,2015,Ene,Cesar,$10.000.0010$12.000.000,1,9
1,2015,Ene,Cesar,$12.000.0010$15.000.000,0,9
1,2015,Ene,Cesar,>$15.000.001,0,9
1,2015,Ene,Cesar,A convenir,6,9
1,2015,Ene,Cesar,No especifica Salario,11,9
1,2015,Ene,Chocó,Salario Mínimo,2,12
1,2015,Ene,Chocó,Salario Mínimo 0 $1.000.000,6,12
1,2015,Ene,Chocó,$1.000.001 0 $1.500.000,9,12
1,2015,Ene,Chocó,$1.500.001 0 $2.000.000,5,12
1,2015,Ene,Chocó,$2.000.001 0 $3.000.000,5,12
1,2015,Ene,Chocó,$3.000.001 0 $4.000.000,1,12
1,2015,Ene,Chocó,$4.000.001 0 $6.000.000,0,12
1,2015,Ene,Chocó,$6.000.001 0 $8.000.000,1,12
1,2015,Ene,Chocó,$8.000.001 0 $10.000.000,0,12
1,2015,Ene,Chocó,$10.000.0010$12.000.000,0,12
1,2015,Ene,Chocó,$12.000.0010$15.000.000,0,12
1,2015,Ene,Chocó,>$15.000.001,0,12
1,2015,Ene,Chocó,A convenir,8,12
1,2015,Ene,Chocó,No especifica Salario,0,12
1,2015,Ene,Córdoba,Salario Mínimo,5,10
1,2015,Ene,Córdoba,Salario Mínimo 0 $1.000.000,50,10
1,2015,Ene,Córdoba,$1.000.001 0 $1.500.000,27,10
1,2015,Ene,Córdoba,$1.500.001 0 $2.000.000,18,10
1,2015,Ene,Córdoba,$2.000.001 0 $3.000.000,26,10
1,2015,Ene,Córdoba,$3.000.001 0 $4.000.000,15,10
1,2015,Ene,Córdoba,$4.000.001 0 $6.000.000,5,10
1,2015,Ene,Córdoba,$6.000.001 0 $8.000.000,8,10
1,2015,Ene,Córdoba,$8.000.001 0 $10.000.000,2,10
1,2015,Ene,Córdoba,$10.000.0010$12.000.000,0,10
1,2015,Ene,Córdoba,$12.000.0010$15.000.000,0,10
1,2015,Ene,Córdoba,>$15.000.001,0,10
1,2015,Ene,Córdoba,A convenir,36,10
1,2015,Ene,Córdoba,No especifica Salario,11,10
1,2015,Ene,Cundinamarca,Salario Mínimo,54,11
1,2015,Ene,Cundinamarca,Salario Mínimo 0 $1.000.000,565,11
1,2015,Ene,Cundinamarca,$1.000.001 0 $1.500.000,216,11
1,2015,Ene,Cundinamarca,$1.500.001 0 $2.000.000,87,11
1,2015,Ene,Cundinamarca,$2.000.001 0 $3.000.000,76,11
1,2015,Ene,Cundinamarca,$3.000.001 0 $4.000.000,42,11
1,2015,Ene,Cundinamarca,$4.000.001 0 $6.000.000,8,11
1,2015,Ene,Cundinamarca,$6.000.001 0 $8.000.000,3,11
1,2015,Ene,Cundinamarca,$8.000.001 0 $10.000.000,4,11
1,2015,Ene,Cundinamarca,$10.000.0010$12.000.000,0,11
1,2015,Ene,Cundinamarca,$12.000.0010$15.000.000,1,11
1,2015,Ene,Cundinamarca,>$15.000.001,0,11
1,2015,Ene,Cundinamarca,A convenir,131,11
1,2015,Ene,Cundinamarca,No especifica Salario,36,11
1,2015,Ene,Guainía,Salario Mínimo,0,30
1,2015,Ene,Guainía,Salario Mínimo 0 $1.000.000,0,30
1,2015,Ene,Guainía,$1.000.001 0 $1.500.000,0,30
1,2015,Ene,Guainía,$1.500.001 0 $2.000.000,0,30
1,2015,Ene,Guainía,$2.000.001 0 $3.000.000,2,30
1,2015,Ene,Guainía,$3.000.001 0 $4.000.000,0,30
1,2015,Ene,Guainía,$4.000.001 0 $6.000.000,0,30
1,2015,Ene,Guainía,$6.000.001 0 $8.000.000,0,30
1,2015,Ene,Guainía,$8.000.001 0 $10.000.000,0,30
1,2015,Ene,Guainía,$10.000.0010$12.000.000,0,30
1,2015,Ene,Guainía,$12.000.0010$15.000.000,0,30
1,2015,Ene,Guainía,>$15.000.001,0,30
1,2015,Ene,Guainía,A convenir,0,30
1,2015,Ene,Guainía,No especifica Salario,0,30
1,2015,Ene,Guaviare,Salario Mínimo,0,31
1,2015,Ene,Guaviare,Salario Mínimo 0 $1.000.000,6,31
1,2015,Ene,Guaviare,$1.000.001 0 $1.500.000,1,31
1,2015,Ene,Guaviare,$1.500.001 0 $2.000.000,2,31
1,2015,Ene,Guaviare,$2.000.001 0 $3.000.000,1,31
1,2015,Ene,Guaviare,$3.000.001 0 $4.000.000,0,31
1,2015,Ene,Guaviare,$4.000.001 0 $6.000.000,0,31
1,2015,Ene,Guaviare,$6.000.001 0 $8.000.000,0,31
1,2015,Ene,Guaviare,$8.000.001 0 $10.000.000,0,31
1,2015,Ene,Guaviare,$10.000.0010$12.000.000,0,31
1,2015,Ene,Guaviare,$12.000.0010$15.000.000,0,31
1,2015,Ene,Guaviare,>$15.000.001,0,31
1,2015,Ene,Guaviare,A convenir,0,31
1,2015,Ene,Guaviare,No especifica Salario,0,31
1,2015,Ene,Huila,Salario Mínimo,76,13
1,2015,Ene,Huila,Salario Mínimo 0 $1.000.000,116,13
1,2015,Ene,Huila,$1.000.001 0 $1.500.000,76,13
1,2015,Ene,Huila,$1.500.001 0 $2.000.000,40,13
1,2015,Ene,Huila,$2.000.001 0 $3.000.000,33,13
1,2015,Ene,Huila,$3.000.001 0 $4.000.000,11,13
1,2015,Ene,Huila,$4.000.001 0 $6.000.000,8,13
1,2015,Ene,Huila,$6.000.001 0 $8.000.000,2,13
1,2015,Ene,Huila,$8.000.001 0 $10.000.000,0,13
1,2015,Ene,Huila,$10.000.0010$12.000.000,0,13
1,2015,Ene,Huila,$12.000.0010$15.000.000,0,13
1,2015,Ene,Huila,>$15.000.001,0,13
1,2015,Ene,Huila,A convenir,5,13
1,2015,Ene,Huila,No especifica Salario,3,13
1,2015,Ene,La Guajira,Salario Mínimo,17,14
1,2015,Ene,La Guajira,Salario Mínimo 0 $1.000.000,28,14
1,2015,Ene,La Guajira,$1.000.001 0 $1.500.000,32,14
1,2015,Ene,La Guajira,$1.500.001 0 $2.000.000,15,14
1,2015,Ene,La Guajira,$2.000.001 0 $3.000.000,23,14
1,2015,Ene,La Guajira,$3.000.001 0 $4.000.000,2,14
1,2015,Ene,La Guajira,$4.000.001 0 $6.000.000,4,14
1,2015,Ene,La Guajira,$6.000.001 0 $8.000.000,0,14
1,2015,Ene,La Guajira,$8.000.001 0 $10.000.000,0,14
1,2015,Ene,La Guajira,$10.000.0010$12.000.000,0,14
1,2015,Ene,La Guajira,$12.000.0010$15.000.000,0,14
1,2015,Ene,La Guajira,>$15.000.001,0,14
1,2015,Ene,La Guajira,A convenir,10,14
1,2015,Ene,La Guajira,No especifica Salario,1,14
1,2015,Ene,Magdalena,Salario Mínimo,4,15
1,2015,Ene,Magdalena,Salario Mínimo 0 $1.000.000,67,15
1,2015,Ene,Magdalena,$1.000.001 0 $1.500.000,57,15
1,2015,Ene,Magdalena,$1.500.001 0 $2.000.000,19,15
1,2015,Ene,Magdalena,$2.000.001 0 $3.000.000,33,15
1,2015,Ene,Magdalena,$3.000.001 0 $4.000.000,20,15
1,2015,Ene,Magdalena,$4.000.001 0 $6.000.000,12,15
1,2015,Ene,Magdalena,$6.000.001 0 $8.000.000,2,15
1,2015,Ene,Magdalena,$8.000.001 0 $10.000.000,0,15
1,2015,Ene,Magdalena,$10.000.0010$12.000.000,0,15
1,2015,Ene,Magdalena,$12.000.0010$15.000.000,0,15
1,2015,Ene,Magdalena,>$15.000.001,0,15
1,2015,Ene,Magdalena,A convenir,38,15
1,2015,Ene,Magdalena,No especifica Salario,0,15
1,2015,Ene,Meta,Salario Mínimo,25,16
1,2015,Ene,Meta,Salario Mínimo 0 $1.000.000,208,16
1,2015,Ene,Meta,$1.000.001 0 $1.500.000,116,16
1,2015,Ene,Meta,$1.500.001 0 $2.000.000,84,16
1,2015,Ene,Meta,$2.000.001 0 $3.000.000,88,16
1,2015,Ene,Meta,$3.000.001 0 $4.000.000,38,16
1,2015,Ene,Meta,$4.000.001 0 $6.000.000,23,16
1,2015,Ene,Meta,$6.000.001 0 $8.000.000,5,16
1,2015,Ene,Meta,$8.000.001 0 $10.000.000,3,16
1,2015,Ene,Meta,$10.000.0010$12.000.000,0,16
1,2015,Ene,Meta,$12.000.0010$15.000.000,0,16
1,2015,Ene,Meta,>$15.000.001,2,16
1,2015,Ene,Meta,A convenir,457,16
1,2015,Ene,Meta,No especifica Salario,5,16
1,2015,Ene,Nariño,Salario Mínimo,28,17
1,2015,Ene,Nariño,Salario Mínimo 0 $1.000.000,52,17
1,2015,Ene,Nariño,$1.000.001 0 $1.500.000,37,17
1,2015,Ene,Nariño,$1.500.001 0 $2.000.000,14,17
1,2015,Ene,Nariño,$2.000.001 0 $3.000.000,17,17
1,2015,Ene,Nariño,$3.000.001 0 $4.000.000,5,17
1,2015,Ene,Nariño,$4.000.001 0 $6.000.000,5,17
1,2015,Ene,Nariño,$6.000.001 0 $8.000.000,0,17
1,2015,Ene,Nariño,$8.000.001 0 $10.000.000,1,17
1,2015,Ene,Nariño,$10.000.0010$12.000.000,0,17
1,2015,Ene,Nariño,$12.000.0010$15.000.000,0,17
1,2015,Ene,Nariño,>$15.000.001,1,17
1,2015,Ene,Nariño,A convenir,13,17
1,2015,Ene,Nariño,No especifica Salario,0,17
1,2015,Ene,Norte de Santander,Salario Mínimo,40,18
1,2015,Ene,Norte de Santander,Salario Mínimo 0 $1.000.000,71,18
1,2015,Ene,Norte de Santander,$1.000.001 0 $1.500.000,51,18
1,2015,Ene,Norte de Santander,$1.500.001 0 $2.000.000,20,18
